Property Name,City,County,State,Google Maps Link,Apartments.com Link,Zillow Link,County Assessor Link,Address (to be filled),Confidence,Source,Notes
Sunset Heights,Austin,,TX,https://www.google.com/maps/search/Sunset+Heights+Austin+TX,https://www.apartments.com/search/?q=Sunset+Heights+Austin+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Sunset+Heights+Austin+TX%22%7D,https://google.com/search?q=unknown+county+assessor+TX,,1.0,manual_verification,
Dallas Park Apartments,Dallas,Dallas,TX,https://www.google.com/maps/search/Dallas+Park+Apartments+Dallas+TX,https://www.apartments.com/search/?q=Dallas+Park+Apartments+Dallas+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Dallas+Park+Apartments+Dallas+TX%22%7D,https://google.com/search?q=Dallas+county+assessor+TX,,1.0,manual_verification,
Houston Towers Residential,Houston,Harris,TX,https://www.google.com/maps/search/Houston+Towers+Residential+Houston+TX,https://www.apartments.com/search/?q=Houston+Towers+Residential+Houston+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Houston+Towers+Residential+Houston+TX%22%7D,https://google.com/search?q=Harris+county+assessor+TX,,1.0,manual_verification,
Austin Central Living,Austin,Travis,TX,https://www.google.com/maps/search/Austin+Central+Living+Austin+TX,https://www.apartments.com/search/?q=Austin+Central+Living+Austin+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Austin+Central+Living+Austin+TX%22%7D,https://google.com/search?q=Travis+county+assessor+TX,,1.0,manual_verification,
Tulsa Downtown Living,Tulsa,Tulsa,TX,https://www.google.com/maps/search/Tulsa+Downtown+Living+Tulsa+TX,https://www.apartments.com/search/?q=Tulsa+Downtown+Living+Tulsa+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Tulsa+Downtown+Living+Tulsa+TX%22%7D,https://google.com/search?q=Tulsa+county+assessor+TX,,1.0,manual_verification,
Fort Worth Midtown,Fort Worth,Tarrant,TX,https://www.google.com/maps/search/Fort+Worth+Midtown+Fort+Worth+TX,https://www.apartments.com/search/?q=Fort+Worth+Midtown+Fort+Worth+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Fort+Worth+Midtown+Fort+Worth+TX%22%7D,https://google.com/search?q=Tarrant+county+assessor+TX,,1.0,manual_verification,
San Antonio Mission District,San Antonio,Bexar,TX,https://www.google.com/maps/search/San+Antonio+Mission+District+San+Antonio+TX,https://www.apartments.com/search/?q=San+Antonio+Mission+District+San+Antonio+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22San+Antonio+Mission+District+San+Antonio+TX%22%7D,https://google.com/search?q=Bexar+county+assessor+TX,,1.0,manual_verification,
Corpus Christi Bay View,Corpus Christi,Nueces,TX,https://www.google.com/maps/search/Corpus+Christi+Bay+View+Corpus+Christi+TX,https://www.apartments.com/search/?q=Corpus+Christi+Bay+View+Corpus+Christi+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Corpus+Christi+Bay+View+Corpus+Christi+TX%22%7D,https://google.com/search?q=Nueces+county+assessor+TX,,1.0,manual_verification,
Brownsville Riverside,Brownsville,Cameron,TX,https://www.google.com/maps/search/Brownsville+Riverside+Brownsville+TX,https://www.apartments.com/search/?q=Brownsville+Riverside+Brownsville+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Brownsville+Riverside+Brownsville+TX%22%7D,https://google.com/search?q=Cameron+county+assessor+TX,,1.0,manual_verification,
Lubbock Tech Campus,Lubbock,Lubbock,TX,https://www.google.com/maps/search/Lubbock+Tech+Campus+Lubbock+TX,https://www.apartments.com/search/?q=Lubbock+Tech+Campus+Lubbock+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Lubbock+Tech+Campus+Lubbock+TX%22%7D,https://google.com/search?q=Lubbock+county+assessor+TX,,1.0,manual_verification,
Amarillo Sunrise Apartments,Amarillo,Potter,TX,https://www.google.com/maps/search/Amarillo+Sunrise+Apartments+Amarillo+TX,https://www.apartments.com/search/?q=Amarillo+Sunrise+Apartments+Amarillo+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Amarillo+Sunrise+Apartments+Amarillo+TX%22%7D,https://google.com/search?q=Potter+county+assessor+TX,,1.0,manual_verification,
Beaumont Industrial Park,Beaumont,Jefferson,TX,https://www.google.com/maps/search/Beaumont+Industrial+Park+Beaumont+TX,https://www.apartments.com/search/?q=Beaumont+Industrial+Park+Beaumont+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Beaumont+Industrial+Park+Beaumont+TX%22%7D,https://google.com/search?q=Jefferson+county+assessor+TX,,1.0,manual_verification,
Tyler Rose Valley,Tyler,Smith,TX,https://www.google.com/maps/search/Tyler+Rose+Valley+Tyler+TX,https://www.apartments.com/search/?q=Tyler+Rose+Valley+Tyler+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Tyler+Rose+Valley+Tyler+TX%22%7D,https://google.com/search?q=Smith+county+assessor+TX,,1.0,manual_verification,
Longview Commerce Center,Longview,Gregg,TX,https://www.google.com/maps/search/Longview+Commerce+Center+Longview+TX,https://www.apartments.com/search/?q=Longview+Commerce+Center+Longview+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Longview+Commerce+Center+Longview+TX%22%7D,https://google.com/search?q=Gregg+county+assessor+TX,,1.0,manual_verification,
Odessa Basin Residences,Odessa,Ector,TX,https://www.google.com/maps/search/Odessa+Basin+Residences+Odessa+TX,https://www.apartments.com/search/?q=Odessa+Basin+Residences+Odessa+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Odessa+Basin+Residences+Odessa+TX%22%7D,https://google.com/search?q=Ector+county+assessor+TX,,1.0,manual_verification,
Phoenix Desert Springs,Phoenix,Tarrant,TX,https://www.google.com/maps/search/Phoenix+Desert+Springs+Phoenix+TX,https://www.apartments.com/search/?q=Phoenix+Desert+Springs+Phoenix+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Phoenix+Desert+Springs+Phoenix+TX%22%7D,https://google.com/search?q=Tarrant+county+assessor+TX,,1.0,manual_verification,
Arlington Marketplace Apartments,Arlington,Tarrant,TX,https://www.google.com/maps/search/Arlington+Marketplace+Apartments+Arlington+TX,https://www.apartments.com/search/?q=Arlington+Marketplace+Apartments+Arlington+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Arlington+Marketplace+Apartments+Arlington+TX%22%7D,https://google.com/search?q=Tarrant+county+assessor+TX,,1.0,manual_verification,
Irving Innovation Hub,Irving,Dallas,TX,https://www.google.com/maps/search/Irving+Innovation+Hub+Irving+TX,https://www.apartments.com/search/?q=Irving+Innovation+Hub+Irving+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Irving+Innovation+Hub+Irving+TX%22%7D,https://google.com/search?q=Dallas+county+assessor+TX,,1.0,manual_verification,
Garland Central Station,Garland,Dallas,TX,https://www.google.com/maps/search/Garland+Central+Station+Garland+TX,https://www.apartments.com/search/?q=Garland+Central+Station+Garland+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Garland+Central+Station+Garland+TX%22%7D,https://google.com/search?q=Dallas+county+assessor+TX,,1.0,manual_verification,
Plano Tech Quarter,Plano,Collin,TX,https://www.google.com/maps/search/Plano+Tech+Quarter+Plano+TX,https://www.apartments.com/search/?q=Plano+Tech+Quarter+Plano+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Plano+Tech+Quarter+Plano+TX%22%7D,https://google.com/search?q=Collin+county+assessor+TX,,1.0,manual_verification,
McKinney Heights,McKinney,Collin,TX,https://www.google.com/maps/search/McKinney+Heights+McKinney+TX,https://www.apartments.com/search/?q=McKinney+Heights+McKinney+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22McKinney+Heights+McKinney+TX%22%7D,https://google.com/search?q=Collin+county+assessor+TX,,1.0,manual_verification,
Denton University Park,Denton,Denton,TX,https://www.google.com/maps/search/Denton+University+Park+Denton+TX,https://www.apartments.com/search/?q=Denton+University+Park+Denton+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Denton+University+Park+Denton+TX%22%7D,https://google.com/search?q=Denton+county+assessor+TX,,1.0,manual_verification,
Lewisville Lakeside,Lewisville,Denton,TX,https://www.google.com/maps/search/Lewisville+Lakeside+Lewisville+TX,https://www.apartments.com/search/?q=Lewisville+Lakeside+Lewisville+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Lewisville+Lakeside+Lewisville+TX%22%7D,https://google.com/search?q=Denton+county+assessor+TX,,1.0,manual_verification,
Frisco Northwest,Frisco,Collin,TX,https://www.google.com/maps/search/Frisco+Northwest+Frisco+TX,https://www.apartments.com/search/?q=Frisco+Northwest+Frisco+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Frisco+Northwest+Frisco+TX%22%7D,https://google.com/search?q=Collin+county+assessor+TX,,1.0,manual_verification,
